Time, 12 (4), , , , , , , 19 (11), , , , , , , 27 (20), , , , , , , 39 (33), , , , , , , 40 (35), , , , , , , 50 (46), , , , , , , 54 (50), , , , , , , 59 (55), , , , , , , 6 (56), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 15:30, 227.202, 0, 0, 100, 0, 0, 0, 226.684, 0, 0, 100, 0, 0, 0, 227.459, 0, 0, 100, 0, 0, 0, 226.039, 0, 0, 100, 0, 0, 0, 226.038, 0, 0, 98.7874, 0, 0, 0, 227.849, 0, 0, 98.1965, 0, 0, 0, 227.849, 0, 0, 100, 0, 0, 0, 227.589, 0, 0, 100, 0, 0, 0, 227.07, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 228.075, 0, 0, 100, 0, 0, 0, 227.553, 0, 0, 100, 0, 0, 0, 228.335, 0, 0, 100, 0, 0, 0, 226.902, 0, 0, 100, 0, 0, 0, 226.902, 0, 0, 98.7874, 0, 0, 0, 228.728, 0, 0, 98.1965, 0, 0, 0, 228.728, 0, 0, 100, 0, 0, 0, 228.466, 0, 0, 100, 0, 0, 0, 227.942, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 224.907, 0, 0, 100, 0, 0, 0, 224.313, 0, 0, 100, 0, 0, 0, 225.203, 0, 0, 100, 0, 0, 0, 223.571, 0, 0, 100, 0, 0, 0, 223.57, 0, 0, 98.7874, 0, 0, 0, 225.651, 0, 0, 98.1965, 0, 0, 0, 225.651, 0, 0, 100, 0, 0, 0, 225.352, 0, 0, 100, 0, 0, 0, 224.755, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 224.161, 0, 0, 100, 0, 0, 0, 223.519, 0, 0, 100, 0, 0, 0, 224.48, 0, 0, 100, 0, 0, 0, 222.719, 0, 0, 100, 0, 0, 0, 222.718, 0, 0, 98.7874, 0, 0, 0, 224.964, 0, 0, 98.1965, 0, 0, 0, 224.964, 0, 0, 100, 0, 0, 0, 224.641, 0, 0, 100, 0, 0, 0, 223.997, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 220.149, 0, 0, 100, 0, 0, 0, 219.404, 0, 0, 100, 0, 0, 0, 220.518, 0, 0, 100, 0, 0, 0, 218.476, 0, 0, 100, 0, 0, 0, 218.475, 0, 0, 98.7874, 0, 0, 0, 221.08, 0, 0, 98.1965, 0, 0, 0, 221.08, 0, 0, 100, 0, 0, 0, 220.705, 0, 0, 100, 0, 0, 0, 219.957, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 217.716, 0, 0, 100, 0, 0, 0, 216.895, 0, 0, 100, 0, 0, 0, 218.124, 0, 0, 100, 0, 0, 0, 215.87, 0, 0, 100, 0, 0, 0, 215.87, 0, 0, 98.7874, 0, 0, 0, 218.745, 0, 0, 98.1965, 0, 0, 0, 218.745, 0, 0, 100, 0, 0, 0, 218.33, 0, 0, 100, 0, 0, 0, 217.504, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 204.446, 0, 0, 90.2564, 0, 0, 0, 202.764, 0, 0, 90.2564, 0, 0, 0, 205.71, 0, 0, 90.2564, 0, 0, 0, 205.526, 0, 0, 90.2564, 0, 0, 0, 201.228, 0, 0, 89.0438, 0, 0, 0, 208.743, 0, 0, 88.4529, 0, 0, 0, 210.749, 0, 0, 90.2564, 0, 0, 0, 207.696, 0, 0, 90.2564, 0, 0, 0, 205.943, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 203.359, 0, 0, 95.9848, 0, 0, 0, 201.662, 0, 0, 95.9848, 0, 0, 0, 204.627, 0, 0, 95.9848, 0, 0, 0, 204.333, 0, 0, 95.9848, 0, 0, 0, 200.105, 0, 0, 94.7877, 0, 0, 0, 207.639, 0, 0, 94.2042, 0, 0, 0, 209.625, 0, 0, 95.9848, 0, 0, 0, 206.584, 0, 0, 95.9848, 0, 0, 0, 204.815, 0, 0, 95.9848, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 219.003, 0, 0, 100, 0, 0, 0, 218.162, 0, 0, 100, 0, 0, 0, 219.42, 0, 0, 100, 0, 0, 0, 217.114, 0, 0, 100, 0, 0, 0, 217.114, 0, 0, 100, 0, 0, 0, 220.055, 0, 0, 99.872, 0, 0, 0, 220.055, 0, 0, 100, 0, 0, 0, 219.631, 0, 0, 100, 0, 0, 0, 218.786, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 221.273, 0, 0, 100, 0, 0, 0, 220.486, 0, 0, 100, 0, 0, 0, 221.665, 0, 0, 100, 0, 0, 0, 219.504, 0, 0, 100, 0, 0, 0, 219.503, 0, 0, 100, 0, 0, 0, 222.259, 0, 0, 99.872, 0, 0, 0, 222.259, 0, 0, 100, 0, 0, 0, 221.862, 0, 0, 100, 0, 0, 0, 221.071, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 214.599, 0, 0, 100, 0, 0, 0, 213.702, 0, 0, 100, 0, 0, 0, 215.043, 0, 0, 100, 0, 0, 0, 212.583, 0, 0, 100, 0, 0, 0, 212.582, 0, 0, 100, 0, 0, 0, 215.722, 0, 0, 99.872, 0, 0, 0, 215.722, 0, 0, 100, 0, 0, 0, 215.269, 0, 0, 100, 0, 0, 0, 214.366, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 218.116, 0, 0, 100, 0, 0, 0, 217.284, 0, 0, 100, 0, 0, 0, 218.529, 0, 0, 100, 0, 0, 0, 216.247, 0, 0, 100, 0, 0, 0, 216.246, 0, 0, 100, 0, 0, 0, 219.158, 0, 0, 99.872, 0, 0, 0, 219.158, 0, 0, 100, 0, 0, 0, 218.738, 0, 0, 100, 0, 0, 0, 217.902, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 218.734, 0, 0, 100, 0, 0, 0, 217.931, 0, 0, 100, 0, 0, 0, 219.133, 0, 0, 100, 0, 0, 0, 216.928, 0, 0, 100, 0, 0, 0, 216.928, 0, 0, 100, 0, 0, 0, 219.74, 0, 0, 99.872, 0, 0, 0, 219.74, 0, 0, 100, 0, 0, 0, 219.335, 0, 0, 100, 0, 0, 0, 218.527, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 220.679, 0, 0, 100, 0, 0, 0, 219.944, 0, 0, 100, 0, 0, 0, 221.044, 0, 0, 100, 0, 0, 0, 219.028, 0, 0, 100, 0, 0, 0, 219.027, 0, 0, 100, 0, 0, 0, 221.598, 0, 0, 99.872, 0, 0, 0, 221.598, 0, 0, 100, 0, 0, 0, 221.228, 0, 0, 100, 0, 0, 0, 220.49, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 221.698, 0, 0, 100, 0, 0, 0, 221.008, 0, 0, 100, 0, 0, 0, 222.042, 0, 0, 100, 0, 0, 0, 220.146, 0, 0, 100, 0, 0, 0, 220.146, 0, 0, 100, 0, 0, 0, 222.563, 0, 0, 99.872, 0, 0, 0, 222.563, 0, 0, 100, 0, 0, 0, 222.215, 0, 0, 100, 0, 0, 0, 221.521, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 223.409, 0, 0, 100, 0, 0, 0, 222.786, 0, 0, 100, 0, 0, 0, 223.719, 0, 0, 100, 0, 0, 0, 222.008, 0, 0, 100, 0, 0, 0, 222.007, 0, 0, 100, 0, 0, 0, 224.189, 0, 0, 99.872, 0, 0, 0, 224.19, 0, 0, 100, 0, 0, 0, 223.876, 0, 0, 100, 0, 0, 0, 223.25, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 224.007, 0, 0, 100, 0, 0, 0, 223.432, 0, 0, 100, 0, 0, 0, 224.292, 0, 0, 100, 0, 0, 0, 222.715, 0, 0, 100, 0, 0, 0, 222.715, 0, 0, 100, 0, 0, 0, 224.725, 0, 0, 99.872, 0, 0, 0, 224.725, 0, 0, 100, 0, 0, 0, 224.436, 0, 0, 100, 0, 0, 0, 223.86, 0, 0, 100, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 227.873, 0, 0, 100, 0, 0, 0, 227.406, 0, 0, 100, 0, 0, 0, 228.106, 0, 0, 100, 0, 0, 0, 226.823, 0, 0, 100, 0, 0, 0, 226.823, 0, 0, 100, 0, 0, 0, 228.458, 0, 0, 99.872, 0, 0, 0, 228.458, 0, 0, 100, 0, 0, 0, 228.223, 0, 0, 100, 0, 0, 0, 227.754, 0, 0, 100, 0, 0, 0, 
