Time, 11 (3), , , , , , , 14 (6), , , , , , , 19 (11), , , , , , , 20 (13), , , , , , , 38 (32), , , , , , , 50 (46), , , , , , , 56 (52), , , , , , , 60 (57), , , , , , , 62 (59), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 18:30, 206.776, 0, 0, 80.5969, 0, 0, 0, 206.776, 0, 0, 86.9005, 0, 0, 0, 207.006, 0, 0, 86.4149, 0, 0, 0, 205.78, 0, 0, 84.6022, 0, 0, 0, 203.205, 0, 0, 90.2564, 0, 0, 0, 206.938, 0, 0, 89.9766, 0, 0, 0, 205.284, 0, 0, 90.2564, 0, 0, 0, 208.403, 0, 0, 89.0544, 0, 0, 0, 204.475, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 205.652, 0, 0, 80.5969, 0, 0, 0, 205.652, 0, 0, 86.9005, 0, 0, 0, 205.845, 0, 0, 86.4149, 0, 0, 0, 204.606, 0, 0, 84.6022, 0, 0, 0, 202.061, 0, 0, 90.2564, 0, 0, 0, 205.861, 0, 0, 89.9766, 0, 0, 0, 204.204, 0, 0, 90.2564, 0, 0, 0, 207.29, 0, 0, 89.0544, 0, 0, 0, 203.394, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 209.022, 0, 0, 80.5969, 0, 0, 0, 209.022, 0, 0, 86.9005, 0, 0, 0, 209.331, 0, 0, 86.4149, 0, 0, 0, 208.121, 0, 0, 84.6022, 0, 0, 0, 205.431, 0, 0, 90.2564, 0, 0, 0, 209.083, 0, 0, 89.9766, 0, 0, 0, 207.429, 0, 0, 90.2564, 0, 0, 0, 210.637, 0, 0, 89.0544, 0, 0, 0, 206.621, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 211.151, 0, 0, 80.5969, 0, 0, 0, 211.151, 0, 0, 86.9005, 0, 0, 0, 211.525, 0, 0, 86.4149, 0, 0, 0, 210.347, 0, 0, 84.6022, 0, 0, 0, 207.627, 0, 0, 90.2564, 0, 0, 0, 211.121, 0, 0, 89.9766, 0, 0, 0, 209.477, 0, 0, 90.2564, 0, 0, 0, 212.737, 0, 0, 89.0544, 0, 0, 0, 208.674, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 205.056, 0, 0, 80.5969, 0, 0, 0, 205.056, 0, 0, 86.9005, 0, 0, 0, 205.228, 0, 0, 86.4149, 0, 0, 0, 203.987, 0, 0, 84.6022, 0, 0, 0, 201.482, 0, 0, 90.2564, 0, 0, 0, 205.292, 0, 0, 89.9766, 0, 0, 0, 203.636, 0, 0, 90.2564, 0, 0, 0, 206.696, 0, 0, 89.0544, 0, 0, 0, 202.827, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 208.298, 0, 0, 80.5969, 0, 0, 0, 208.298, 0, 0, 86.9005, 0, 0, 0, 208.574, 0, 0, 86.4149, 0, 0, 0, 207.37, 0, 0, 84.6022, 0, 0, 0, 204.777, 0, 0, 90.2564, 0, 0, 0, 208.395, 0, 0, 89.9766, 0, 0, 0, 206.749, 0, 0, 90.2564, 0, 0, 0, 209.905, 0, 0, 89.0544, 0, 0, 0, 205.945, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 208.929, 0, 0, 80.5969, 0, 0, 0, 208.929, 0, 0, 86.9005, 0, 0, 0, 209.218, 0, 0, 86.4149, 0, 0, 0, 208.032, 0, 0, 84.6022, 0, 0, 0, 205.472, 0, 0, 90.2564, 0, 0, 0, 209.002, 0, 0, 89.9766, 0, 0, 0, 207.364, 0, 0, 90.2564, 0, 0, 0, 210.519, 0, 0, 89.0544, 0, 0, 0, 206.564, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 210.842, 0, 0, 80.5969, 0, 0, 0, 210.842, 0, 0, 86.9005, 0, 0, 0, 211.179, 0, 0, 86.4149, 0, 0, 0, 210.035, 0, 0, 84.6022, 0, 0, 0, 207.522, 0, 0, 90.2564, 0, 0, 0, 210.838, 0, 0, 89.9766, 0, 0, 0, 209.219, 0, 0, 90.2564, 0, 0, 0, 212.392, 0, 0, 89.0544, 0, 0, 0, 208.429, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 211.875, 0, 0, 80.5969, 0, 0, 0, 211.875, 0, 0, 86.9005, 0, 0, 0, 212.234, 0, 0, 86.4149, 0, 0, 0, 211.117, 0, 0, 84.6022, 0, 0, 0, 208.652, 0, 0, 90.2564, 0, 0, 0, 211.83, 0, 0, 89.9766, 0, 0, 0, 210.224, 0, 0, 90.2564, 0, 0, 0, 213.398, 0, 0, 89.0544, 0, 0, 0, 209.441, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 213.584, 0, 0, 80.5969, 0, 0, 0, 213.584, 0, 0, 86.9005, 0, 0, 0, 213.983, 0, 0, 86.4149, 0, 0, 0, 212.908, 0, 0, 84.6022, 0, 0, 0, 210.505, 0, 0, 90.2564, 0, 0, 0, 213.472, 0, 0, 89.9766, 0, 0, 0, 211.886, 0, 0, 90.2564, 0, 0, 0, 215.067, 0, 0, 89.0544, 0, 0, 0, 211.112, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 214.277, 0, 0, 80.5969, 0, 0, 0, 214.277, 0, 0, 86.9005, 0, 0, 0, 214.682, 0, 0, 86.4149, 0, 0, 0, 213.637, 0, 0, 84.6022, 0, 0, 0, 211.333, 0, 0, 90.2564, 0, 0, 0, 214.141, 0, 0, 89.9766, 0, 0, 0, 212.573, 0, 0, 90.2564, 0, 0, 0, 215.729, 0, 0, 89.0544, 0, 0, 0, 211.809, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 217.981, 0, 0, 80.5969, 0, 0, 0, 217.981, 0, 0, 86.9005, 0, 0, 0, 218.485, 0, 0, 86.4149, 0, 0, 0, 217.505, 0, 0, 84.6022, 0, 0, 0, 215.211, 0, 0, 90.2564, 0, 0, 0, 217.693, 0, 0, 89.9766, 0, 0, 0, 216.15, 0, 0, 90.2564, 0, 0, 0, 219.372, 0, 0, 89.0544, 0, 0, 0, 215.397, 0, 0, 90.2564, 0, 0, 0, 
